player_name,total_runs,balls_faced,dismissals,strike_rate,total_wickets,runs_conceded,balls_bowled,overs_bowled,economy_rate,player_ID
DP Vijaykumar,1.0,1.0,0.0,100.0,4.0,205.0,159.0,26.5,7.735849056603773,Player_167
DPMD Jayawardene,1808.0,1522.0,64.0,118.7910643889619,0.0,0.0,0.0,0.0,0.0,Player_168
DR Martyn,19.0,26.0,2.0,73.07692307692307,0.0,0.0,0.0,0.0,0.0,Player_169
DR Sams,44.0,48.0,10.0,91.66666666666666,15.0,528.0,389.0,64.83333333333333,8.143958868894602,Player_170
DR Shorey,13.0,20.0,2.0,65.0,0.0,0.0,0.0,0.0,0.0,Player_171
DR Smith,2385.0,1803.0,81.0,132.27953410981698,27.0,825.0,557.0,92.83333333333331,8.88689407540395,Player_172
DS Kulkarni,104.0,113.0,9.0,92.03539823008848,91.0,2513.0,1876.0,312.6666666666667,8.03731343283582,Player_173
DS Lehmann,18.0,19.0,2.0,94.73684210526316,0.0,0.0,0.0,0.0,0.0,Player_174
DT Christian,460.0,408.0,28.0,112.74509803921568,40.0,1218.0,922.0,153.66666666666666,7.926247288503254,Player_175
DT Patil,13.0,13.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,Player_176
DW Steyn,167.0,163.0,22.0,102.45398773006136,105.0,2583.0,2282.0,380.3333333333333,6.791411042944786,Player_177
E Lewis,654.0,499.0,24.0,131.062124248497,0.0,0.0,0.0,0.0,0.0,Player_178
EJG Morgan,1406.0,1181.0,61.0,119.05165114309906,0.0,0.0,0.0,0.0,0.0,Player_179
ER Dwivedi,24.0,15.0,2.0,160.0,0.0,0.0,0.0,0.0,0.0,Player_180
F Behardien,14.0,13.0,2.0,107.6923076923077,0.0,0.0,0.0,0.0,0.0,Player_181
F du Plessis,3403.0,2676.0,97.0,127.16741405082212,0.0,16.0,6.0,1.0,16.0,Player_182
FA Allen,14.0,19.0,2.0,73.68421052631578,2.0,136.0,91.0,15.166666666666666,8.967032967032967,Player_183
FH Edwards,4.0,5.0,1.0,80.0,6.0,160.0,150.0,25.0,6.4,Player_184
FY Fazal,183.0,179.0,9.0,102.23463687150836,1.0,20.0,12.0,2.0,10.0,Player_185
Fazalhaq Farooqi,2.0,8.0,0.0,25.0,2.0,110.0,76.0,12.666666666666666,8.68421052631579,Player_186
G Gambhir,4217.0,3524.0,135.0,119.66515323496029,0.0,0.0,0.0,0.0,0.0,Player_187
GB Hogg,22.0,22.0,2.0,100.0,25.0,585.0,466.0,77.66666666666667,7.532188841201716,Player_188
GC Smith,739.0,691.0,30.0,106.9464544138929,0.0,0.0,0.0,0.0,0.0,Player_189
GC Viljoen,3.0,7.0,2.0,42.85714285714285,8.0,229.0,146.0,24.33333333333333,9.41095890410959,Player_190
GD McGrath,4.0,5.0,1.0,80.0,14.0,366.0,329.0,54.833333333333336,6.674772036474164,Player_191
